sexo	etnia	dcronica	region	n_hijos
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	2
Mujer	Indígena	0	1	3
Mujer	Indígena	1	3	4
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	1
Hombre	Afroecuatoriana/o	0	2	1
Mujer	Mestizo/Blanco	1	3	3
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Mujer	Afroecuatoriana/o	0	2	2
Hombre	Mestizo/Blanco	1	3	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	3
Mujer	Indígena	1	3	3
Hombre	Mestizo/Blanco	0	2	2
Hombre	Indígena	0	3	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	0	3	1
Mujer	Montubia/o	0	2	3
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	4
Hombre	Mestizo/Blanco	1	3	2
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	3	3
Mujer	Mestizo/Blanco	0	1	1
Hombre	Afroecuatoriana/o	0	1	1
Mujer	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	1	2	3
Hombre	Mestizo/Blanco	1	1	3
Mujer	Afroecuatoriana/o	0	2	4
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	3
Hombre	Indígena	0	3	2
Mujer	Mestizo/Blanco	0	1	1
Mujer	Indígena	1	1	1
Hombre	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	1	2	3
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	1	2	3
Mujer	Mestizo/Blanco	1	2	5
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	NA	3	2
Hombre	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Indígena	0	2	3
Mujer	Afroecuatoriana/o	1	2	4
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	1	1	1
Mujer	Indígena	0	3	2
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	1	1	4
Mujer	Mestizo/Blanco	0	1	3
Mujer	Montubia/o	0	2	3
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	4
Hombre	Mestizo/Blanco	1	1	2
Mujer	Montubia/o	0	2	3
Mujer	Afroecuatoriana/o	NA	1	2
Hombre	Indígena	1	1	1
Mujer	Mestizo/Blanco	1	2	1
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	2	1
Hombre	Indígena	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	1	2	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	5
Hombre	Montubia/o	0	2	1
Hombre	Indígena	0	1	3
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	0	2	4
Hombre	Indígena	0	3	1
Mujer	Indígena	1	3	2
Mujer	Mestizo/Blanco	1	1	3
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	2	2
Hombre	Indígena	1	3	9
Mujer	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	1	1	3
Mujer	Mestizo/Blanco	0	NA	NA
Mujer	Montubia/o	0	2	4
Mujer	Montubia/o	0	2	2
Mujer	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	NA	NA
Mujer	Indígena	0	3	1
Mujer	Mestizo/Blanco	0	2	7
Hombre	Indígena	0	3	4
Mujer	Mestizo/Blanco	1	1	3
Mujer	Indígena	1	1	4
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	1	2	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Afroecuatoriana/o	1	2	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	1	2	1
Mujer	Mestizo/Blanco	1	1	5
Hombre	Mestizo/Blanco	1	3	4
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	3	2
Hombre	Indígena	0	1	2
Mujer	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	1	1	2
Hombre	Indígena	1	3	1
Mujer	Mestizo/Blanco	0	3	4
Hombre	Mestizo/Blanco	0	1	3
Hombre	Indígena	1	3	1
Hombre	Mestizo/Blanco	0	2	1
Mujer	Indígena	1	1	3
Hombre	Mestizo/Blanco	0	1	3
Hombre	Indígena	0	1	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	5
Mujer	Mestizo/Blanco	0	1	4
Hombre	Indígena	NA	3	4
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	NA	NA
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Hombre	Indígena	1	1	5
Mujer	Mestizo/Blanco	0	1	4
Hombre	Mestizo/Blanco	0	2	3
Mujer	Indígena	0	1	3
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	1	1	3
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	3	2
Hombre	Indígena	1	1	2
Mujer	Afroecuatoriana/o	0	2	4
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	4
Mujer	Indígena	0	3	2
Mujer	Mestizo/Blanco	0	3	1
Mujer	Indígena	1	1	5
Mujer	Mestizo/Blanco	1	2	1
Mujer	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	1	1	2
Hombre	Afroecuatoriana/o	0	2	2
Mujer	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	1	2	2
Mujer	Mestizo/Blanco	1	3	1
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	1	2	4
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	2	3
Hombre	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	1	1	3
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	4
Mujer	Mestizo/Blanco	0	2	1
Mujer	Afroecuatoriana/o	0	2	1
Mujer	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	1	2	1
Hombre	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Indígena	1	1	1
Mujer	Afroecuatoriana/o	0	2	2
Mujer	Mestizo/Blanco	NA	2	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Afroecuatoriana/o	1	1	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	1	2	3
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	1	3	2
Mujer	Mestizo/Blanco	1	3	4
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	2
Hombre	Indígena	1	1	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	1
Mujer	Afroecuatoriana/o	0	2	3
Hombre	Mestizo/Blanco	NA	1	2
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	3
Hombre	Afroecuatoriana/o	0	2	3
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	3	1
Mujer	Indígena	0	3	3
Hombre	Mestizo/Blanco	1	2	2
Hombre	Indígena	0	3	3
Mujer	Mestizo/Blanco	0	NA	NA
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	1	1	4
Mujer	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	3
Hombre	Indígena	0	1	2
Hombre	Indígena	0	3	3
Hombre	Indígena	0	3	3
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	3
Hombre	Mestizo/Blanco	0	2	3
Mujer	Afroecuatoriana/o	0	1	2
Mujer	Mestizo/Blanco	0	2	1
Hombre	Indígena	1	1	2
Hombre	Indígena	0	1	2
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	1
Mujer	Afroecuatoriana/o	0	1	3
Mujer	Afroecuatoriana/o	0	1	1
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Afroecuatoriana/o	0	2	5
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	3
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	1	2
Mujer	Afroecuatoriana/o	0	2	1
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	2	2
Hombre	Indígena	1	1	6
Hombre	Mestizo/Blanco	0	3	6
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	NA	NA
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	NA	NA
Hombre	Mestizo/Blanco	0	3	3
Mujer	Indígena	0	1	2
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	NA	NA
Mujer	Indígena	1	3	2
Hombre	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	NA	1	2
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	3	2
Mujer	Indígena	0	3	3
Mujer	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	1	1	3
Hombre	Mestizo/Blanco	1	1	4
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	1	3	3
Hombre	Mestizo/Blanco	0	3	3
Mujer	Indígena	0	3	1
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	1	1	1
Mujer	Montubia/o	0	2	4
Mujer	Mestizo/Blanco	0	1	2
Mujer	Montubia/o	0	2	1
Mujer	Indígena	1	2	3
Mujer	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	5
Mujer	Mestizo/Blanco	0	2	2
Mujer	Indígena	1	1	1
Hombre	Indígena	1	1	1
Mujer	Mestizo/Blanco	0	1	4
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	1	4
Mujer	Montubia/o	0	2	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	1	4
Mujer	Indígena	NA	1	3
Mujer	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	4
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	2	2
Hombre	Mestizo/Blanco	0	1	4
Mujer	Mestizo/Blanco	0	1	1
Hombre	Montubia/o	0	2	3
Mujer	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	NA	NA
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	NA	NA
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	3	4
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	1	1	2
Hombre	Indígena	0	3	3
Hombre	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	4
Hombre	Mestizo/Blanco	1	1	2
Mujer	Indígena	0	3	7
Mujer	Mestizo/Blanco	0	2	4
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	NA	1	2
Mujer	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	1	2	3
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	1
Hombre	Afroecuatoriana/o	0	2	1
Mujer	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	1	1	3
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	0	2	2
Mujer	Indígena	0	3	3
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	1	1	1
Hombre	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	0	1	4
Mujer	Mestizo/Blanco	0	1	2
Hombre	Afroecuatoriana/o	0	1	5
Hombre	Indígena	1	1	4
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	2	3
Mujer	Indígena	0	3	8
Mujer	Mestizo/Blanco	1	1	1
Hombre	Indígena	0	3	2
Hombre	Indígena	1	1	2
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	0	1	4
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	1	1
Hombre	Indígena	0	3	1
Hombre	Afroecuatoriana/o	0	3	1
Mujer	Indígena	1	1	2
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	6
Mujer	Mestizo/Blanco	1	2	3
Mujer	Mestizo/Blanco	0	2	2
Hombre	Indígena	NA	3	2
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	1	3	2
Hombre	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	1	2	2
Mujer	Mestizo/Blanco	1	2	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	3	1
Hombre	Afroecuatoriana/o	0	2	3
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	NA	2	2
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	0	2	1
Mujer	Indígena	0	1	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	2	2
Hombre	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	0	3	2
Hombre	Indígena	1	3	7
Hombre	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	1	2	5
Hombre	Indígena	0	3	3
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	2
Mujer	Indígena	0	3	4
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	1	1	3
Mujer	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	3	3
Mujer	Afroecuatoriana/o	0	2	3
Mujer	Mestizo/Blanco	0	2	4
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	1	3
Hombre	Indígena	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Indígena	0	3	3
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Indígena	0	3	4
Mujer	Mestizo/Blanco	NA	1	2
Hombre	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	2	1
Hombre	Indígena	0	3	1
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	1	2
Mujer	Indígena	0	3	3
Hombre	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	2	2
Mujer	Montubia/o	0	2	3
Hombre	Indígena	1	1	2
Hombre	Mestizo/Blanco	0	1	2
Hombre	Indígena	0	1	3
Hombre	Mestizo/Blanco	1	3	2
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	1	5
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	2	2
Mujer	Montubia/o	1	1	2
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	2
Mujer	Mestizo/Blanco	1	1	1
Mujer	Afroecuatoriana/o	0	3	3
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	1	2	1
Hombre	Indígena	0	3	4
Mujer	Mestizo/Blanco	0	2	5
Hombre	Afroecuatoriana/o	0	2	2
Mujer	Mestizo/Blanco	0	2	1
Mujer	Indígena	0	1	3
Hombre	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	0	1	8
Mujer	Mestizo/Blanco	1	3	2
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	3
Mujer	Indígena	0	3	3
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	2	1
Mujer	Indígena	0	1	2
Hombre	Mestizo/Blanco	0	3	5
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	3	1
Hombre	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	2	1
Mujer	Indígena	0	1	4
Hombre	Mestizo/Blanco	0	3	2
Hombre	Mestizo/Blanco	0	1	3
Mujer	Indígena	1	1	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	1	1
Hombre	Indígena	0	1	1
Hombre	Mestizo/Blanco	0	2	4
Mujer	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	3	5
Hombre	Mestizo/Blanco	0	2	4
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	2	2
Hombre	Afroecuatoriana/o	0	1	5
Mujer	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	1	4
Hombre	Mestizo/Blanco	NA	3	1
Hombre	Mestizo/Blanco	1	2	3
Hombre	Indígena	1	3	3
Hombre	Mestizo/Blanco	0	2	5
Hombre	Mestizo/Blanco	0	2	2
Hombre	Montubia/o	0	2	1
Mujer	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	4
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	1
Hombre	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	1	2	5
Hombre	Montubia/o	1	1	1
Hombre	Indígena	0	3	2
Mujer	Indígena	0	1	2
Mujer	Mestizo/Blanco	0	2	4
Mujer	Mestizo/Blanco	0	3	2
Mujer	Indígena	0	3	3
Mujer	Mestizo/Blanco	0	2	2
Mujer	Indígena	0	3	1
Hombre	Mestizo/Blanco	0	1	4
Mujer	Mestizo/Blanco	0	3	2
Mujer	Afroecuatoriana/o	0	3	2
Mujer	Mestizo/Blanco	1	1	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	2	3
Mujer	Mestizo/Blanco	0	2	1
Mujer	Mestizo/Blanco	0	2	3
Mujer	Indígena	0	3	2
Hombre	Mestizo/Blanco	0	2	1
Mujer	Montubia/o	0	2	3
Mujer	Mestizo/Blanco	1	1	2
Hombre	Mestizo/Blanco	1	1	1
Mujer	Mestizo/Blanco	1	1	3
Hombre	Mestizo/Blanco	0	1	3
Mujer	Mestizo/Blanco	0	3	2
Mujer	Mestizo/Blanco	0	1	1
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	1	2
Hombre	Mestizo/Blanco	0	3	1
Mujer	Mestizo/Blanco	0	1	4
Mujer	Mestizo/Blanco	0	1	1
Hombre	Montubia/o	0	1	3
Hombre	Afroecuatoriana/o	NA	2	4
Mujer	Mestizo/Blanco	0	1	2
Mujer	Mestizo/Blanco	0	2	5
Mujer	Indígena	0	3	3
Hombre	Mestizo/Blanco	0	1	3
Hombre	Mestizo/Blanco	0	1	1
Mujer	Mestizo/Blanco	0	2	3
Hombre	Mestizo/Blanco	1	1	2
